StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,DistrictName,DistrictType,NCESDistrictID,County,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,NewCasesCombined,NewCasesStudents,NewCasesStaff,NewCasesUnknown,TwoWeekPeriodStaffStudentCasesCombined,TwoWeekPeriodCasesStudents,TwoWeekPeriodCasesStaff,CumulativeCasesCombined,CumulativeCasesStudents,CumulativeCasesStaff,CumulativeCasesUnknown,ActiveCasesStaff,ActiveCasesStudents,ActiveCasesUnknown,ActiveCasesCombined
Vermont,VT,School,Not applicable,BRIDPORT CENTRAL SCHOOL,Regular school,500040200052,,Local school district that is a component of a supervisory union,5000402,,Weekly,06/13/21,06/20/21,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BRIDPORT CENTRAL SCHOOL,Regular school,500040200052,,Local school district that is a component of a supervisory union,5000402,,Weekly,06/16/21,06/23/21,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,10/09/20,10/16/20,,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,10/18/20,10/25/20,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,10/25/20,11/01/20,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,11/01/20,11/08/20,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,11/08/20,11/15/20,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,11/15/20,11/22/20,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,11/22/20,11/29/20,2,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,11/29/20,12/06/20,0,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,12/06/20,12/13/20,0,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,12/15/20,12/22/20,0,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,12/20/20,12/27/20,0,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,12/27/20,01/03/21,0,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,01/03/21,01/10/21,0,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,01/06/21,01/13/21,0,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,01/17/21,01/24/21,0,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,01/24/21,01/31/21,0,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,01/31/21,02/07/21,0,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,02/07/21,02/14/21,0,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,02/14/21,02/21/21,0,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,02/21/21,02/28/21,0,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,02/28/21,03/07/21,0,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,03/07/21,03/14/21,0,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,03/14/21,03/21/21,0,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,03/21/21,03/28/21,0,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,03/28/21,04/04/21,0,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,04/04/21,04/11/21,1,,,,,,,3,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,04/11/21,04/18/21,1,,,,,,,4,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,04/18/21,04/25/21,0,,,,,,,4,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,04/25/21,05/02/21,0,,,,,,,4,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,05/02/21,05/09/21,0,,,,,,,4,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,05/09/21,05/16/21,0,,,,,,,4,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,05/16/21,05/23/21,0,,,,,,,4,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,05/23/21,05/30/21,0,,,,,,,4,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,05/30/21,06/06/21,0,,,,,,,4,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,06/06/21,06/13/21,0,,,,,,,4,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,06/13/21,06/20/21,0,,,,,,,4,,,,,,,
Vermont,VT,School,Not applicable,BRIGHTON ELEMENTARY SCHOOL,Regular school,500261000054,,Local school district that is a component of a supervisory union,5002610,,Weekly,06/16/21,06/23/21,0,,,,,,,4,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,10/09/20,10/16/20,,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,10/18/20,10/25/20,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,10/25/20,11/01/20,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,11/01/20,11/08/20,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,11/08/20,11/15/20,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,11/15/20,11/22/20,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,11/22/20,11/29/20,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,11/29/20,12/06/20,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,12/06/20,12/13/20,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,12/15/20,12/22/20,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,12/20/20,12/27/20,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,12/27/20,01/03/21,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,01/03/21,01/10/21,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,01/06/21,01/13/21,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,01/17/21,01/24/21,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,01/24/21,01/31/21,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,01/31/21,02/07/21,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,02/07/21,02/14/21,1,,,,,,,1,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,02/14/21,02/21/21,0,,,,,,,1,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,02/21/21,02/28/21,0,,,,,,,1,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,02/28/21,03/07/21,0,,,,,,,1,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,03/07/21,03/14/21,0,,,,,,,1,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,03/14/21,03/21/21,0,,,,,,,1,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,03/21/21,03/28/21,0,,,,,,,1,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,03/28/21,04/04/21,0,,,,,,,1,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,04/04/21,04/11/21,1,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,04/11/21,04/18/21,0,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,04/18/21,04/25/21,0,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,04/25/21,05/02/21,0,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,05/02/21,05/09/21,0,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,05/09/21,05/16/21,0,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,05/16/21,05/23/21,0,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,05/23/21,05/30/21,0,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,05/30/21,06/06/21,0,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,06/06/21,06/13/21,0,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,06/13/21,06/20/21,0,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BRISTOL ELEMENTARY SCHOOL,Regular school,500042500423,,Local school district that is a component of a supervisory union,5000425,,Weekly,06/16/21,06/23/21,0,,,,,,,2,,,,,,,
Vermont,VT,School,Not applicable,BROOKFIELD ELEMENTARY SCHOOL,Regular school,500040000057,,Local school district that is a component of a supervisory union,5000400,,Weekly,10/09/20,10/16/20,,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BROOKFIELD ELEMENTARY SCHOOL,Regular school,500040000057,,Local school district that is a component of a supervisory union,5000400,,Weekly,10/18/20,10/25/20,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BROOKFIELD ELEMENTARY SCHOOL,Regular school,500040000057,,Local school district that is a component of a supervisory union,5000400,,Weekly,10/25/20,11/01/20,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BROOKFIELD ELEMENTARY SCHOOL,Regular school,500040000057,,Local school district that is a component of a supervisory union,5000400,,Weekly,11/01/20,11/08/20,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BROOKFIELD ELEMENTARY SCHOOL,Regular school,500040000057,,Local school district that is a component of a supervisory union,5000400,,Weekly,11/08/20,11/15/20,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BROOKFIELD ELEMENTARY SCHOOL,Regular school,500040000057,,Local school district that is a component of a supervisory union,5000400,,Weekly,11/15/20,11/22/20,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BROOKFIELD ELEMENTARY SCHOOL,Regular school,500040000057,,Local school district that is a component of a supervisory union,5000400,,Weekly,11/22/20,11/29/20,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BROOKFIELD ELEMENTARY SCHOOL,Regular school,500040000057,,Local school district that is a component of a supervisory union,5000400,,Weekly,11/29/20,12/06/20,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BROOKFIELD ELEMENTARY SCHOOL,Regular school,500040000057,,Local school district that is a component of a supervisory union,5000400,,Weekly,12/06/20,12/13/20,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BROOKFIELD ELEMENTARY SCHOOL,Regular school,500040000057,,Local school district that is a component of a supervisory union,5000400,,Weekly,12/15/20,12/22/20,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BROOKFIELD ELEMENTARY SCHOOL,Regular school,500040000057,,Local school district that is a component of a supervisory union,5000400,,Weekly,12/20/20,12/27/20,0,,,,,,,0,,,,,,,
Vermont,VT,School,Not applicable,BROOKFIELD ELEMENTARY SCHOOL,Regular school,500040000057,,Local school district that is a component of a supervisory union,5000400,,Weekly,12/27/20,01/03/21,0,,,,,,,0,,,,,,,
